Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2015,"7,75%","5,24","0,43","1,04",-,"5,24",-,"5,13","6,64","0,85","1,31","9,52","15,87","-0,95","0,01",-,"0,07","0,82","0,13","1,98","23,62%",-%,"185,63%","181,54%","19,77%","16,17%","17,76%","0,09","-1,39%","14,96%",ITSA4,acoes
2014,"1,89%","7,25","0,19","1,46",-,"7,08",-,"6,89","6,42","1,18","1,29","11,43","24,62","-1,33","0,02",-,"0,10","0,81","0,13","1,72","24,98%",-%,"165,76%","157,56%","20,17%","16,28%","18,16%","0,10","3,15%","12,64%",ITSA4,acoes
2013,"2,44%","8,33","0,33","1,43",-,"8,85",-,"7,49","6,21","1,13","1,07","8,97","20,24","-1,29","0,02",-,"0,13","0,79","0,14","1,81","29,50%",-%,"119,74%","107,73%","17,20%","13,59%","16,05%","0,13","-0,81%","24,17%",ITSA4,acoes
ATUAL,"3,81%","8,03","0,41","1,20",-,"5,82",-,"6,37","14,43","0,11","2,16","1,43","2,02","-0,12",-,-,-,"0,09","0,91","5,37","39,92%",-%,"22,47%","17,82%","15,00%","1,36%",-%,"0,08","-5,09%","5,20%",BBDC4,acoes
2021,"5,34%","7,99","0,17","1,25",-,"5,24",-,"5,68","15,41","0,11","2,41","1,49","3,27","-0,12",-,-,-,"0,11","1,07","5,00","56,06%",-%,"26,19%","18,64%","15,61%","1,65%",-%,"0,09","-5,09%","5,49%",BBDC4,acoes
2020,"2,61%","15,01",-,"1,68",-,"55,87",-,"59,07","16,20","0,18","1,81","2,45","1,39","-0,20",-,-,-,"0,11","1,06","5,75","50,65%",-%,"4,14%","16,29%","11,01%","1,17%",-%,"0,07","-3,00%","-2,43%",BBDC4,acoes
2019,"5,68%","13,87",-,"2,18","15,66","21,16","16,13","21,80","16,58","0,25","2,61","2,35","-3,13","-0,51",-,-,-,"0,10","0,90","0,16","52,84%","14,55%","10,76%","16,91%","15,56%","1,53%",-%,"0,09","4,51%","6,54%",BBDC4,acoes
2018,"2,97%","15,66","-5,30","2,14",-,"12,53",-,"13,36","18,02","0,23","2,47","2,31","-3,30","-0,50",-,-,-,"0,10","0,90",-,"50,91%",-%,"17,27%","14,74%","13,34%","1,27%",-%,"0,09","7,69%","5,99%",BBDC4,acoes
2017,"3,18%","12,10","-2,69","1,87",-,"8,48",-,"8,71","18,08","0,20","2,80","1,50","-1,47","-0,40",-,-,-,"0,10","0,90",-,"45,14%",-%,"17,23%","12,40%","14,56%","1,40%",-%,"0,11","9,90%","8,64%",BBDC4,acoes
2016,"1,24%","9,00","-6,84","1,60",-,"5,06",-,"5,05","18,09","0,15","3,22","0,99","-0,83","-0,29",-,-,-,"0,09","0,91",-,"44,12%",-%,"19,58%","10,98%","16,99%","1,50%",-%,"0,14","14,02%","10,31%",BBDC4,acoes
2015,"7,36%","5,37","0,29","1,09",-,"10,46",-,"10,14","17,61","0,10","3,59","0,85","-0,72","-0,21",-,-,-,"0,09","0,91",-,"37,69%",-%,"8,38%","15,82%","19,97%","1,77%",-%,"0,11","11,42%","12,78%",BBDC4,acoes
2014,"3,70%","9,63","0,41","1,81",-,"7,55",-,"7,63","19,37","0,15","3,64","1,48","-2,42","-0,39",-,-,-,"0,09","0,91",-,"46,00%",-%,"19,38%","15,36%","18,64%","1,65%",-%,"0,11","10,01%","13,08%",BBDC4,acoes
2013,"2,97%","9,87","1,01","1,73",-,"8,97",-,"8,55","16,86","0,14","2,95","1,58","-1,91","-0,34",-,-,-,"0,09","0,91",-,"46,74%",-%,"18,43%","15,95%","17,24%","1,48%",-%,"0,09",-%,-%,BBDC4,acoes
ATUAL,"0,25%","66,04","0,02","1,05","7,95","18,72","10,86","25,57","26,02","0,58","0,41","1,88","8,73","-0,80","-0,28","-2,88","-6,79","0,56","0,44","1,34","100,00%","17,32%","7,36%","2,85%","1,58%","0,88%","3,83%","0,31","4,50%",-%,APER3,acoes
2021,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,28","-3,62","-11,25","0,56","0,44","1,56","100,00%","15,71%","5,06%","3,02%","1,50%","0,84%","2,04%","0,28","4,50%",-%,APER3,acoes
2020,"0,16%",-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,25","-4,25","13,33","0,59","0,41","1,64","100,00%","10,06%","-3,21%","-0,67%","-0,39%","-0,23%","-2,91%","0,35","-11,42%",-%,APER3,acoes
2019,-%,"89,03",-,"1,27","18,37","-546,54","28,57","-849,90","22,92","0,85","0,33","2,44","3,58","-1,40","-0,45","-10,20","303,36","0,67","0,33","2,57","100,00%","8,55%","-0,29%","2,74%","1,42%","0,96%","-0,19%","0,35","-16,64%","-25,09%",APER3,acoes
2018,-%,"-0,84","-0,01","1,48","-0,65","-0,62","-0,87","-0,83","12,13","1,00","-21,32","1,58","4,54","-1,66","-0,37","0,22","0,21","0,68","0,32","2,26","100,00%","-180,80%","-190,43%","-186,93%","-175,77%","-118,98%","-179,99%","0,64","-19,42%",-%,APER3,acoes
2017,-%,-,-,-,-,-,-,-,"33,64",-,"-10,77",-,-,-,"-0,15","0,56","0,49","0,86","0,14","3,12","100,00%","-80,09%","-91,23%","-95,13%","-32,02%","-27,53%","-33,87%","0,29","-17,58%",-%,APER3,acoes
2016,-%,-,-,-,-,-,-,-,"3,31",-,"-0,93",-,-,-,"-0,15","0,58","0,52","0,88","0,11","2,68","100,00%","-77,41%","-86,19%","-81,44%","-28,15%","-24,90%","-32,48%","0,31","-4,08%",-%,APER3,acoes
2015,-%,-,-,-,-,-,-,-,"3,73",-,"-1,06",-,-,-,"-0,11","0,31","0,29","0,79","0,20","1,16","100,00%","-69,57%","-75,47%","-57,42%","-28,48%","-22,53%","-39,32%","0,39","68,00%",-%,APER3,acoes
2014,-%,-,-,-,-,-,-,-,"4,72",-,"0,11",-,-,-,"-0,13","-7,81","19,74","0,65","0,35","1,13","100,00%","3,53%","-1,40%","4,68%","2,26%","1,46%","-4,44%","0,31",-%,-%,APER3,acoes
2013,-%,-,-,-,-,-,-,-,"5,16",-,"1,05",-,-,-,"-0,28","-1,32","-1,43","0,59","0,40","1,98","100,00%","41,44%","38,35%","39,59%","20,28%","12,01%","12,18%","0,30",-%,-%,APER3,acoes
ATUAL,"9,12%","4,71","0,09","0,65",-,"4,01",-,"4,01","51,76","0,05","7,12","0,65","2,44","-0,05",-,-,-,"0,07","0,92","7,70","31,08%",-%,"16,23%","13,82%","13,75%","1,02%",-%,"0,07","-6,50%","23,75%",BBAS3,acoes
2021,"7,86%","4,19","0,09","0,58",-,"3,45",-,"3,45","49,82","0,04","6,88","0,66","1,58","-0,04",-,-,-,"0,07","0,88","26,54","47,38%",-%,"19,05%","15,66%","13,82%","0,99%",-%,"0,06","-6,50%","22,92%",BBAS3,acoes
2020,"3,81%","8,36",-,"0,95",-,"9,60",-,"9,60","40,74","0,06","4,64","1,13","0,66","-0,07",-,-,-,"0,07","0,88","56,87","56,18%",-%,"11,73%","13,47%","10,63%","0,75%",-%,"0,06","-11,56%","-1,13%",BBAS3,acoes
2019,"4,84%","9,23",-,"1,53","10,01","13,59","10,01","13,59","34,51","0,10","5,72","1,23","-0,51","-0,20",-,-,-,"0,07","0,87","0,07","27,50%","12,29%","9,05%","13,32%","15,22%","1,07%",-%,"0,08","-2,23%","6,71%",BBAS3,acoes
2018,"3,26%","9,64","0,32","1,45",-,"6,53",-,"6,53","32,10","0,09","4,83","1,11","-0,62","-0,20",-,-,-,"0,07","0,93",-,"31,68%",-%,"16,98%","11,50%","13,57%","0,99%",-%,"0,09","2,83%","5,78%",BBAS3,acoes
2017,"2,96%","8,58","0,17","1,04",-,"5,72",-,"5,72","30,55","0,06","3,71","0,62","-0,36","-0,14",-,-,-,"0,07","0,93",-,"21,31%",-%,"10,83%","7,23%","10,92%","0,79%",-%,"0,11","9,32%","-1,12%",BBAS3,acoes
2016,"2,65%","11,45","-0,23","1,06",-,"7,39",-,"7,39","26,60","0,05","2,45","0,46","-0,31","-0,11",-,-,-,"0,06","0,94",-,"17,58%",-%,"6,18%","3,99%","8,14%","0,51%",-%,"0,13","13,59%","-11,14%",BBAS3,acoes
2015,"11,42%","3,00","0,16","0,60",-,"4,17",-,"4,17","24,66","0,03","4,91","0,23","-0,22","-0,06",-,-,-,"0,06","0,94",-,"12,32%",-%,"5,56%","7,71%","17,04%","1,01%",-%,"0,13","16,46%","4,49%",BBAS3,acoes
2014,"6,97%","5,75","0,42","0,98",-,"4,36",-,"4,36","24,37","0,05","4,14","0,49","-0,32","-0,10",-,-,-,"0,06","0,93",-,"23,13%",-%,"11,33%","8,60%","14,49%","0,93%",-%,"0,11","15,30%","-2,49%",BBAS3,acoes
2013,"9,68%","6,70","-0,93","1,00",-,"5,44",-,"5,44","24,38","0,06","3,64","0,67","-0,52","-0,12",-,-,-,"0,06","0,93",-,"28,88%",-%,"12,30%","9,98%","14,26%","0,90%",-%,"0,09",-%,-%,BBAS3,acoes
ATUAL,"5,34%","3,23","0,08","1,36","2,74","2,98","2,15","2,34","5,28","0,48","2,23","0,33","1,26","-1,50","0,36","0,58","0,63","0,35","0,57","2,29","20,10%","15,38%","14,15%","10,26%","42,21%","14,91%","28,20%","1,45","32,29%","31,86%",DEXP3,acoes
2021,"8,08%","5,10","0,08","2,24","4,38","4,81","3,51","3,85","4,66","0,76","2,04","0,55","2,32","-2,20","0,57","0,90","0,99","0,34","0,59","1,98","20,82%","15,72%","14,32%","10,81%","43,83%","14,81%","28,29%","1,37","32,29%","29,54%",DEXP3,acoes
2020,"1,39%","5,82",-,"2,47","3,96","4,52","3,46","3,94","8,97","0,82","3,80","0,70","5,05","-1,40","0,37","0,47","0,54","0,30","0,63","1,60","21,71%","20,16%","17,70%","11,99%","46,31%","14,09%","32,96%","1,18","20,13%",-%,DEXP3,acoes
2019,-%,"10,03",-,"1,41",-,-,"4,12","5,03","28,38","0,31","3,98","0,31","5,33","-0,46","1,02","2,98","3,63","0,22","0,75","1,21","18,32%","7,61%","6,23%","3,13%","14,03%","3,06%","11,35%","0,98","16,77%",-%,DEXP3,acoes
2018,-%,"495,77","-5,41","20,92",-,-,-,"67,04","0,45","3,95","0,02","4,59","46,87","-5,69","1,03",-,"3,29","0,19","0,78","1,38","17,20%",-%,"6,84%","0,93%","4,22%","0,80%","9,88%","0,86","16,05%",-%,DEXP3,acoes
2017,-%,"72,21","1,33","37,57",-,-,-,"54,78","0,43","7,24","0,23","12,11","139,76","-9,39","0,66",-,"0,96","0,19","0,77","1,31","15,40%",-%,"22,11%","16,77%","52,03%","10,02%","21,27%","0,60","0,75%",-%,DEXP3,acoes
2016,-%,"160,42","-0,70","436,70",-,-,-,"78,82","0,05","11,61","0,15","19,27","120,89","-21,04","9,00",-,"1,62","0,03","0,98","1,27","21,08%",-%,"24,45%","12,01%","272,23%","7,23%","56,52%","0,60","-1,37%",-%,DEXP3,acoes
2015,-%,"-0,79","-0,01","-1,44",-,-,-,"5,40","-0,06","0,05","-0,11","0,08","-0,33","-0,08",-,-,"38,80","-0,03","1,05","0,76","17,23%",-%,"1,50%","-10,27%","-181,71%","-5,75%","2,53%","0,56","-6,45%",-%,DEXP3,acoes
2014,-%,"-7,11","0,09","7,82",-,-,-,"12,40","0,05","0,21","-0,06","0,39","-4,46","-0,36","11,95",-,"18,96","0,03","0,97","0,92","13,93%",-%,"3,15%","-5,49%","-109,91%","-2,93%","4,26%","0,53","-6,03%",-%,DEXP3,acoes
2013,-%,"-1,85","-0,01","4,09",-,-,-,"1,33","0,12","0,25","-0,26","0,49","-5,67","-0,42","5,39",-,"1,75","0,06","0,92","0,90","10,58%",-%,"37,11%","-26,60%","-220,74%","-13,35%","29,10%","0,50","-15,44%",-%,DEXP3,acoes
ATUAL,-%,"-1,23","0,02","-0,37","-16,78","-9,76","-1,58","-0,92","-17,67","0,10","-5,28","0,07","-1,65","-0,14",-,"-15,21","-8,85","-0,27","1,27","0,84","0,88%","-4,24%","-7,29%","-5,43%","-29,88%","-7,97%","-15,92%","1,47","0,55%",-%,PMAM3,acoes
2021,-%,"-0,55","0,08","-0,46","-19,47","-11,08","-2,35","-1,34","-21,98","0,14","-18,46","0,09","-10,72","-0,22",-,"-17,12","-9,74","-0,31","1,31","0,96","-0,14%","-3,96%","-6,95%","-16,99%","-83,97%","-26,12%","-14,69%","1,54","0,55%",-%,PMAM3,acoes
2020,-%,"-0,50",-,"-2,19","-42,10","-13,73","-5,79","-1,89","-4,58","0,11","-19,85","0,10","-0,21","-0,20",-,"-36,31","-11,84","-0,05","1,05","0,47","2,99%","-1,75%","-5,35%","-20,07%","-433,86%","-21,37%","-8,87%","1,06","-4,39%",-%,PMAM3,acoes
2019,"0,30%","5,33",-,"1,52",-,"14,05",-,"5,58","19,18","0,27","5,45","0,23","3,15","3,15","3,35","7,58","17,01","0,16","0,84","1,17","1,21%","5,25%","2,34%","-0,48%","-4,04%","-0,65%","-3,15%","1,35","2,00%",-%,PMAM3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,16","23,01","-29,07","0,13","0,87","1,52","5,68%","1,74%","-1,37%","-6,79%","-53,67%","-6,99%","-6,76%","1,03","-3,00%",-%,PMAM3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,74","-7,19","-4,52","0,21","0,79","1,88","6,97%","-6,12%","-9,73%","-3,87%","-15,28%","-3,22%","-26,08%","0,83","-2,71%",-%,PMAM3,acoes
2016,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,28","14,90","-48,20","0,07","0,93","0,63","7,63%","2,36%","-0,73%","-8,14%","-145,20%","-10,53%","-13,19%","1,29","2,28%",-%,PMAM3,acoes
2015,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,83","4,97","9,21","0,06","0,94","0,91","7,65%","4,94%","2,67%","2,51%","39,13%","2,54%","4,65%","1,01","10,98%","23,19%",PMAM3,acoes
2014,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,30","1,44","2,82","0,24","0,76","1,04","8,11%","5,23%","2,67%","2,62%","10,29%","2,50%","4,03%","0,95","13,51%","-8,91%",PMAM3,acoes
2013,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,53","2,74","4,55","0,31","0,69","1,15","7,12%","4,78%","2,89%","0,11%","0,43%","0,13%","6,05%","1,25","9,77%","-46,36%",PMAM3,acoes
ATUAL,"3,43%","1,49","0,01","0,39","2,02","2,39","1,16","1,37","21,19","0,22","5,54","0,30","1,69","-0,34","0,21","0,64","0,75","0,57","0,43","1,62","35,44%","26,20%","22,15%","20,39%","26,15%","14,90%","18,80%","0,73","16,44%","72,53%",EUCA4,acoes
2021,"7,86%","1,91","0,01","0,43","2,00","2,35","1,26","1,48","20,39","0,23","4,62","0,33","1,86","-0,37","0,20","0,59","0,69","0,54","0,46","1,53","35,40%","26,41%","22,44%","17,47%","22,67%","12,32%","18,76%","0,70","16,44%","66,37%",EUCA4,acoes
2020,-%,"4,57",-,"0,45","5,74","8,14","2,39","3,39","15,99","0,24","1,56","0,37","3,97","-0,37","0,28","1,53","2,17","0,54","0,46","1,22","31,45%","15,34%","10,81%","8,02%","9,73%","5,27%","4,85%","0,66","9,47%","68,84%",EUCA4,acoes
2019,"0,55%","11,70",-,"0,58","10,96","22,02","2,88","5,79","14,32","0,33","0,71","0,50","8,87","-0,48","0,31","1,56","3,13","0,58","0,42","1,14","28,05%","17,47%","8,70%","4,30%","4,95%","2,86%","5,85%","0,66","6,48%","19,12%",EUCA4,acoes
2018,"1,55%","13,78","-0,45","0,32",-,-,-,"3,66","13,64","0,18","0,31","0,32","-20,93","-0,25","0,33",-,"3,81","0,57","0,43","0,97","28,53%",-%,"8,65%","2,29%","2,29%","1,32%","5,86%","0,57","2,45%","-20,08%",EUCA4,acoes
2017,"1,35%","8,72","0,35","0,30",-,"9,60",-,"4,44","13,36","0,18","0,45","0,30","-4,62","-0,23","0,27",-,"4,01","0,61","0,39","0,86","27,34%",-%,"6,84%","3,48%","3,39%","2,06%","4,52%","0,59","4,58%","-13,85%",EUCA4,acoes
2016,"0,29%","7,75","0,04","0,22",-,-,-,"3,40","12,97","0,13","0,36","0,23","-3,66","-0,17","0,27",-,"4,17","0,60","0,40","0,87","27,88%",-%,"6,69%","2,93%","2,80%","1,67%","4,77%","0,57","4,94%","-17,56%",EUCA4,acoes
2015,"1,52%","24,24","-0,39","0,22",-,-,-,"2,49","12,67","0,13","0,11","0,22","-3,00","-0,16","0,25",-,"2,90","0,58","0,42","0,85","29,09%",-%,"8,93%","0,92%","0,90%","0,52%","5,32%","0,57","7,56%","-38,56%",EUCA4,acoes
2014,-%,"10,99","-0,16","0,26",-,-,-,"2,90","12,55","0,16","0,30","0,27","-36,93","-0,20","0,20",-,"2,22","0,60","0,40","0,98","30,47%",-%,"9,30%","2,46%","2,36%","1,41%","6,28%","0,57","10,83%","-32,76%",EUCA4,acoes
2013,"3,01%","7,09","12,97","0,55",-,-,-,"4,34","12,30","0,33","0,96","0,56","35,94","-0,43","0,18",-,"1,44","0,60","0,40","1,04","33,63%",-%,"12,98%","7,95%","7,80%","4,66%","9,63%","0,59",-%,-%,EUCA4,acoes
ATUAL,"2,80%","2,99","0,00","2,57","4,60","6,39","2,60","3,61","18,57","0,57","15,93","1,55","2,70","-0,80","1,97","2,00","2,78","0,22","0,78","4,12","49,30%","59,61%","42,95%","51,86%","85,78%","19,20%","10,03%","0,37","32,90%","66,56%",SUZB3,acoes
2021,-%,"9,49","-0,05","5,43","5,58","7,72","3,25","4,50","11,07","0,69","6,34","2,00","3,63","-0,96","3,88","2,33","3,22","0,13","0,87","2,95","49,68%","61,43%","44,38%","21,06%","57,22%","7,25%","18,97%","0,34","32,90%","38,51%",SUZB3,acoes
2020,-%,"-7,43",-,"11,02","9,49","17,00","5,27","9,44","5,31","0,78","-7,88","2,62","8,14","-0,95","8,83","4,22","7,56","0,07","0,93","2,20","37,73%","49,65%","27,72%","-35,21%","-148,30%","-10,54%","1,89%","0,30","24,40%",-%,SUZB3,acoes
2019,"1,12%","-19,17",-,"3,01","10,17","41,20","5,07","20,55","13,20","0,55","-2,07","2,08","7,29","-0,68","3,02","5,10","20,65","0,18","0,82","1,65","20,26%","40,94%","10,10%","-10,83%","-15,68%","-2,88%","1,65%","0,27","29,06%",-%,SUZB3,acoes
2018,"0,50%","132,28","-1,61","3,51",-,"10,46",-,"8,41","10,86","0,78","0,29","3,13","1,70","-1,82","0,85",-,"2,05","0,22","0,78","5,08","48,51%",-%,"37,25%","2,37%","2,65%","0,59%","10,16%","0,25","18,76%",-%,SUZB3,acoes
2017,"2,68%","11,43","1,68","1,78",-,"9,25",-,"6,34","10,51","0,72","1,63","1,96","6,69","-0,95","0,82",-,"2,91","0,41","0,59","1,83","38,70%",-%,"30,97%","17,18%","15,55%","6,34%","11,87%","0,37","15,17%",-%,SUZB3,acoes
2016,-%,-,-,-,-,-,-,-,"9,16",-,"1,53",-,-,-,"1,02",-,"7,83","0,35","0,65",-,"33,50%",-%,"13,33%","17,12%","16,68%","5,76%","2,45%","0,34","15,31%","124,17%",SUZB3,acoes
2015,-%,-,-,-,-,-,-,-,"8,30",-,"-0,84",-,-,-,"1,36",-,"4,06","0,33","0,67",-,"39,51%",-%,"30,03%","-9,05%","-10,07%","-3,27%","10,94%","0,36","17,77%",-%,SUZB3,acoes
2014,-%,-,-,-,-,-,-,-,"9,31",-,"-0,24",-,-,-,"0,98",-,"8,19","0,37","0,63",-,"26,28%",-%,"16,93%","-3,60%","-2,54%","-0,93%","4,68%","0,26","12,94%",-%,SUZB3,acoes
2013,-%,-,-,-,-,-,-,-,"9,65",-,"-0,20",-,-,-,"0,86",-,"9,42","0,39","0,61",-,"26,34%",-%,"17,15%","-3,88%","-2,06%","-0,81%","3,89%","0,21",-%,-%,SUZB3,acoes
ATUAL,"15,76%","4,36","0,02","3,55","2,52","2,70","2,74","2,93","25,44","1,45","20,72","1,37","5,75","-2,90","-0,16","-0,13","-0,14","0,41","0,59","2,02","45,28%","49,90%","46,62%","31,36%","81,47%","33,34%","50,24%","1,06","47,87%","50,28%",UNIP6,acoes
2021,"14,96%","4,91","0,01","4,26","3,03","3,26","3,08","3,31","24,24","1,56","21,02","1,55","9,32","-2,86","-0,06","-0,05","-0,05","0,37","0,63","1,58","44,56%","50,30%","46,82%","31,56%","86,72%","31,77%","50,39%","1,01","47,87%","47,86%",UNIP6,acoes
2020,"2,39%","13,15",-,"2,80","4,60","5,82","5,11","6,46","18,27","1,07","3,89","1,25","7,32","-1,84","-0,23","-0,42","-0,53","0,38","0,61","1,54","34,50%","24,47%","19,35%","9,50%","21,31%","8,16%","21,10%","0,86","35,12%","33,16%",UNIP6,acoes
2019,"0,85%","17,94",-,"2,11","5,65","8,25","5,36","7,83","16,90","0,84","1,99","1,02","7,36","-1,24","0,11","0,28","0,41","0,40","0,60","1,54","26,79%","19,04%","13,04%","5,69%","11,78%","4,67%","14,50%","0,82","31,46%","21,48%",UNIP6,acoes
2018,"7,35%","5,83","0,08","2,29","3,24","3,93","3,06","3,71","16,13","0,76","6,32","0,89","6,55","-1,26","0,12","0,17","0,20","0,33","0,64","1,42","36,32%","29,03%","23,94%","15,22%","39,19%","13,06%","28,35%","0,86","79,28%","7,96%",UNIP6,acoes
2017,"31,81%","4,38","0,56","1,34","3,10","4,15","2,30","3,07","11,86","0,38","3,62","0,44","-31,56","-0,56","0,44","0,76","1,02","0,29","0,69","0,96","29,97%","19,07%","14,26%","10,02%","30,54%","8,73%","20,91%","0,87","53,41%","50,44%",UNIP6,acoes
2016,"4,63%","2,04","0,01","0,53",-,"1,25",-,"1,01","12,95","0,16","3,36","0,64","6,89","-0,24","0,11",-,"0,21","0,31","0,63","1,08","43,55%",-%,"63,88%","31,57%","25,96%","8,04%","20,16%","0,25","20,84%","129,12%",UNIP6,acoes
2015,"5,71%","4,12","0,12","0,44","4,87","4,87","2,29","2,29","9,90","0,22","1,05","0,42","5,23","-0,28","0,44","2,30","2,30","0,50","0,50",-,"44,35%","18,36%","18,36%","10,23%","10,62%","5,28%","10,53%","0,52","22,12%","23,72%",UNIP6,acoes
2014,"4,13%","5,99","-0,07","0,51","4,88","6,56","2,14","2,88","0,93","0,24","0,08","0,51","46,42","-0,30","0,62","2,64","3,55","0,48","0,52",-,"45,16%","23,59%","17,55%","8,45%","8,44%","4,03%","8,91%","0,48","16,43%",-%,UNIP6,acoes
2013,"1,43%","1,23","0,00","0,60",-,"2,77",-,"1,13","0,89","0,27","0,43","2,36","20,81","-0,32","0,83",-,"1,58","0,45","0,55","1,09","46,21%",-%,"208,36%","192,23%","48,53%","21,82%","25,88%","0,11",-%,-%,UNIP6,acoes
ATUAL,"4,71%","1,55","0,00","1,32",-,"2,78",-,"0,51","40,28","0,08","34,16","0,22","0,38","-0,11","7,16",-,"2,78","0,06","0,77","4,11","49,30%",-%,"42,94%","14,12%","84,81%","5,22%","10,02%","0,37","32,90%","61,23%",NEMO5,acoes
2021,-%,-,-,-,-,-,-,-,"24,07",-,"13,59",-,-,-,"14,06","2,33","3,22","0,03","0,87","2,95","49,68%","61,42%","44,37%","5,73%","56,44%","1,97%","18,96%","0,34","32,90%","34,08%",NEMO5,acoes
2020,-%,-,-,-,-,-,-,-,"11,70",-,"-16,99",-,-,-,"31,53","4,22","7,56","0,02","0,93","2,20","37,74%","49,63%","27,71%","-9,65%","-145,25%","-2,89%","1,90%","0,30","24,40%",-%,NEMO5,acoes
2019,-%,-,-,-,-,-,-,-,"28,76",-,"-4,45",-,-,-,"10,90","5,09","20,69","0,05","0,81","1,65","20,25%","40,91%","10,07%","-2,96%","-15,49%","-0,79%","1,63%","0,27","29,06%",-%,NEMO5,acoes
2018,-%,-,-,-,-,-,-,-,"23,52",-,"0,58",-,-,-,"2,52",-,"2,05","0,08","0,78","5,08","48,50%",-%,"37,15%","0,75%","2,47%","0,19%","10,11%","0,25","18,75%",-%,NEMO5,acoes
2017,-%,-,-,-,-,-,-,-,"22,79",-,"3,38",-,-,-,"2,40",-,"2,91","0,14","0,59","1,81","38,68%",-%,"30,83%","5,55%","14,83%","2,04%","11,74%","0,37","15,16%",-%,NEMO5,acoes
2016,-%,-,-,-,-,-,-,-,"20,55",-,"3,21",-,-,-,"1,01",-,"7,84","0,35","0,65",-,"33,49%",-%,"13,26%","5,49%","5,32%","1,84%","2,40%","0,33","15,29%","99,43%",NEMO5,acoes
2015,-%,-,-,-,-,-,-,-,"19,14",-,"-1,37",-,-,-,"1,29",-,"4,00","0,33","0,67",-,"39,50%",-%,"29,73%","-2,26%","-2,45%","-0,81%","10,41%","0,36","17,74%",-%,NEMO5,acoes
2014,-%,-,-,-,-,-,-,-,"21,44",-,"-0,33",-,-,-,"0,95",-,"8,35","0,37","0,63",-,"26,27%",-%,"16,58%","-0,77%","-0,53%","-0,20%","4,46%","0,26","12,83%",-%,NEMO5,acoes
2013,-%,-,-,-,-,-,-,-,"22,00",-,"-0,36",-,-,-,"0,84",-,"9,70","0,40","0,60",-,"26,33%",-%,"16,60%","-1,07%","-0,56%","-0,22%","3,68%","0,21",-%,-%,NEMO5,acoes
ATUAL,"14,19%","2,43","-0,12","0,91",-,"2,08",-,"1,18","16,50","0,27","6,20","0,42","1,59","-0,46","0,69",-,"0,90","0,29","0,67","1,65","43,59%",-%,"35,42%","17,22%","37,59%","10,95%","21,67%","0,64","22,81%",-%,CSNA3,acoes
2021,"7,69%","2,83","0,01","1,71","2,12","2,33","1,54","1,69","14,64","0,44","8,83","0,72","3,32","-0,78","0,65","0,59","0,64","0,26","0,71","1,43","46,07%","47,12%","42,87%","25,59%","60,34%","15,44%","27,81%","0,60","22,81%",-%,CSNA3,acoes
2020,"0,03%","11,65",-,"4,46","8,05","11,50","5,41","7,73","7,14","0,70","2,73","1,47","5,10","-1,12","2,17","2,64","3,77","0,16","0,82","1,59","36,39%","27,16%","19,01%","12,62%","38,27%","6,02%","10,94%","0,48","14,52%",-%,CSNA3,acoes
2019,"6,73%","10,94",-,"1,92","8,88","12,37","3,97","5,53","7,33","0,38","1,29","0,77","17,70","-0,51","2,38","4,91","6,85","0,20","0,78","1,10","32,13%","19,40%","13,92%","7,03%","17,58%","3,52%","6,89%","0,50","9,54%",-%,CSNA3,acoes
2018,-%,"2,42","0,00","1,41",-,"5,46",-,"1,77","6,27","0,26","3,66","0,53","21,30","-0,35","2,95",-,"3,70","0,18","0,79","1,05","29,88%",-%,"30,24%","22,09%","58,31%","10,72%","17,24%","0,49","5,82%","58,39%",CSNA3,acoes
2017,-%,"1.131,96","-11,20","1,65",-,"12,40",-,"3,90","5,06","0,26","0,01","0,63","9,60","-0,35","3,61",-,"8,50","0,16","0,82","1,11","26,60%",-%,"16,11%","0,06%","0,15%","0,02%","6,81%","0,41","4,00%",-%,CSNA3,acoes
2016,-%,"-16,11","0,70","2,43",-,"20,49",-,"7,74","4,46","0,34","-0,67","0,88","2,17","-0,47","3,36",-,"12,75","0,17","0,83",-,"26,29%",-%,"11,34%","-5,45%","-12,66%","-2,12%","4,44%","0,39","0,75%",-%,CSNA3,acoes
